	~venusandadonis 5~sonnets 1~loverscomplaint 14
stabbed	~rapeoflucrece 1
stage	~sonnets 2~rapeoflucrece 2
stain	~sonnets 3~rapeoflucrece 8
stain'd	~venusandadonis 1~sonnets 1~rapeoflucrece 6
stained	~rapeoflucrece 2
staineth	~venusandadonis 1~sonnets 1
stains	~venusandadonis 2~rapeoflucrece 1
stale	~rapeoflucrece 1~loverscomplaint 1
stalk	~venusandadonis 1~loverscomplaint 1
stalks	~rapeoflucrece 1
stall'd	~various 1
stalled	~venusandadonis 1
stamp	~sonnets 1~rapeoflucrece 1
stamp'd	~sonnets 1~rapeoflucrece 2
stamps	~venusandadonis 1
stand	~venusandadonis 1~various 3~sonnets 8~rapeoflucrece 6~loverscomplaint 3
standing	~venusandadonis 1~rapeoflucrece 1
stands	~venusandadonis 2~sonnets 3~rapeoflucrece 2
star	~venusandadonis 2~sonnets 3~rapeoflucrece 1
star-gazers	~venusandadonis 1
stares	~rapeoflucrece 1
stares;	~venusandadonis 1
staring	~venusandadonis 1
stark	~various 1
stars	~venusandadonis 1~various 1~sonnets 5~rapeoflucrece 3
start	~rapeoflucrece 1
starteth	~rapeoflucrece 1
starts	~venusandadonis 2~rapeoflucrece 2
starved	~sonnets 1
state	~sonnets 14~rapeoflucrece 7
state;	~rapeoflucrece 1
stately	~rapeoflucrece 1
statues	~venusandadonis 1~sonnets 1
statute	~sonnets 1
stay	~venusandadonis 3~sonnets 9~rapeoflucrece 5
stay'd	~venusandadonis 1~rapeoflucrece 2
stay'st	~various 1
stay;	~loverscomplaint 1
staying	~rapeoflucrece 1
stays	~sonnets 1~rapeoflucrece 1
steadfast	~rapeoflucrece 1
steadfastly	~venusandadonis 1
steal	~venusandadonis 2~sonnets 6~rapeoflucrece 1
stealeth	~rapeoflucrece 2
stealing	~venusandadonis 3
steals	~sonnets 1~rapeoflucrece 1
stealth	~sonnets 1
steam	~venusandadonis 1
steed	~venusandadonis 4~loverscomplaint 1
steel	~venusandadonis 3~sonnets 3~rapeoflucrece 2
steel'd	~venusandadonis 1~sonnets 1
steep	~sonnets 1~rapeoflucrece 1
steep-up	~various 1~sonnets 1
steepy	~sonnets 1
stell'd	~sonnets 1~rapeoflucrece 1
stem	~sonnets 1
steps	~venusandadonis 1~rapeoflucrece 1
stern	~venusandadonis 1~rapeoflucrece 2
stewards	~sonnets 1
stick	~various 1
stick'st	~sonnets 1
sticks	~venusandadonis 1~rapeoflucrece 1
stifle	~venusandadonis 1
still	~venusandadonis 17~various 4~sonnets 39~rapeoflucrece 29~loverscomplaint 2
still'd	~venusandadonis 1
still-gazing	~rapeoflucrece 1
still-pining	~rapeoflucrece 1
still-slaughter'd	~rapeoflucrece 1
still;	~venusandadonis 1~various 1~rapeoflucrece 1
stillitory	~venusandadonis 1
sting	~various 1~rapeoflucrece 2~loverscomplaint 1
sting;	~rapeoflucrece 1
stir	~venusandadonis 1~rapeoflucrece 1
stirring	~venusandadonis 1~rapeoflucrece 1
stirs	~venusandadonis 1
stock	~rapeoflucrece 1
stol'n	~sonnets 5~rapeoflucrece 2
stole	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
stone	~venusandadonis 2~sonnets 3~rapeoflucrece 2~loverscomplaint 1
stone's	~loverscomplaint 1
stones	~sonnets 1~rapeoflucrece 2
stones;	~rapeoflucrece 1
stonish'd	~venusandadonis 1
stood	~venusandadonis 3~various 2~rapeoflucrece 4~loverscomplaint 1
stoop	~rapeoflucrece 1
stoops	~venusandadonis 1~rapeoflucrece 1
stop	~venusandadonis 2~sonnets 2~rapeoflucrece 3~loverscomplaint 2
stopp'd	~venusandadonis 1~rapeoflucrece 1
stopped	~sonnets 1
stops	~venusandadonis 1~sonnets 1~rapeoflucrece 3
stopt	~venusandadonis 2
store	~various 1~sonnets 6~rapeoflucrece 3
store;	~sonnets 3
stores	~sonnets 2
stories	~venusandadonis 2~various 1~rapeoflucrece 1
storm	~rapeoflucrece 1~loverscomplaint 1
storm-beaten	~sonnets 1
storms	~rapeoflucrece 2
stormy	~venusandadonis 1~sonnets 1~rapeoflucrece 1
story	~venusandadonis 1~sonnets 4~rapeoflucrece 3~loverscomplaint 1
stout	~sonnets 1
stoutly	~rapeoflucrece 1
stows	~rapeoflucrece 1
straggling	~rapeoflucrece 1
straight	~venusandadonis 3~sonnets 6~rapeoflucrece 4
strain	~venusandadonis 1~rapeoflucrece 2
strained	~sonnets 1
strains	~sonnets 1
strait	~rapeoflucrece 1
strand	~rapeoflucrece 1
strange	~venusandadonis 2~sonnets 5~rapeoflucrece 1~loverscomplaint 1
strange;	~sonnets 1
strangely	~sonnets 2
strangeness	~venusandadonis 2
stranger	~venusandadonis 1~rapeoflucrece 3
strangle	~sonnets 1
straw	~various 3~rapeoflucrece 1~loverscomplaint 1
straying	~sonnets 1
stream	~rapeoflucrece 1~loverscomplaint 1
stream'd;	~rapeoflucrece 1
stream;	~venusandadonis 1
streams	~sonnets 1~rapeoflucrece 2
streets	~rapeoflucrece 1
strength	~venusandadonis 3~various 1~sonnets 6~rapeoflucrece 3
strength's	~sonnets 1
strengthen'd	~sonnets 1
strengthless	~venusandadonis 1~rapeoflucrece 1
stretched	~sonnets 1
strict	~venusandadonis 1~various 1
strife	~venusandadonis 3~sonnets 1~rapeoflucrece 4
strife;	~rapeoflucrece 2
strifes	~rapeoflucrece 1
strike	~venusandadonis 2~various 1~rapeoflucrece 1
strikes	~venusandadonis 3
striking	~venusandadonis 1~rapeoflucrece 1
string	~sonnets 1
strive	~venusandadonis 4~various 2~sonnets 2~rapeoflucrece 1
strived	~rapeoflucrece 1
strives	~rapeoflucrece 1~loverscomplaint 1
striving	~venusandadonis 1~sonnets 1
stroke	~venusandadonis 1
stroke;	~venusandadonis 1
strong	~venusandadonis 4~various 1~sonnets 9~rapeoflucrece 8~loverscomplaint 3
strong-besieged	~rapeoflucrece 1
strong-bonded	~loverscomplaint 1
strong-neck'd	~venusandadonis 1
stronger	~venusandadonis 1~sonnets 2~rapeoflucrece 1
strongest	~venusandadonis 1~various 1
strongly	~sonnets 2~rapeoflucrece 1
struck	~venusandadonis 1~sonnets 1~rapeoflucrece 2
strucken	~rapeoflucrece 1
struggle	~venusandadonis 1
struggles	~venusandadonis 1
strumpet	~rapeoflucrece 1
strumpeted	~sonnets 1
stuck	~loverscomplaint 1
studded	~venusandadonis 1
studs;	~various 1
stuff'd	~venusandadonis 1
sturdy	~venusandadonis 1
style	~sonnets 3
subdue	~loverscomplaint 1
subdued	~sonnets 1~loverscomplaint 1
subduing	~loverscomplaint 1
subject	~venusandadonis 2~sonnets 5
subjection	~rapeoflucrece 1~loverscomplaint 1
subjects	~sonnets 2~rapeoflucrece 2
suborn'd	~sonnets 1
subornation	~rapeoflucrece 1
subscribes	~sonnets 1
subsist;	~sonnets 1
substance	~sonnets 4
subtle	~various 1~rapeoflucrece 3~loverscomplaint 1
subtle-shining	~rapeoflucrece 1
subtleties	~sonnets 1
subtlety	~venusandadonis 1
succeeding	~sonnets 1~rapeoflucrece 1
success	~rapeoflucrece 1
succession	~sonnets 1
successive	~sonnets 1
succor	~various 1
such	~venusandadonis 11~various 2~sonnets 25~rapeoflucrece 30~loverscomplaint 2
such-like	~venusandadonis 1~various 1
suchlike	~venusandadonis 1
suck'd	~venusandadonis 2~rapeoflucrece 1
sudden	~venusandadonis 2~rapeoflucrece 1
suddenly	~rapeoflucrece 2
suddenly;	~various 1
sue	~sonnets 1~rapeoflucrece 1
suffer	~sonnets 2~rapeoflucrece 1
suffer'd	~venusandadonis 1
sufferance	~sonnets 1
suffered	~sonnets 1
suffering	~loverscomplaint 3
suffers	~sonnets 1
suffice	~rapeoflucrece 1
suffice;	~various 1
sufficed	~sonnets 1~rapeoflucrece 1
suffrages	~rapeoflucrece 1
sugar'd	~rapeoflucrece 1
suggest	~various 1~sonnets 1
suggesteth	~venusandadonis 1
suggestion	~venusandadonis 1
suing;	~venusandadonis 1
suit	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 2~loverscomplaint 1
suit--it	~loverscomplaint 1
suited	~sonnets 1
suitor	~venusandadonis 1
sullen	~venusandadonis 1~sonnets 2
sullied	~sonnets 1
sum	~sonnets 4
summer	~venusandadonis 1~various 2~sonnets 8~rapeoflucrece 1
summer's	~venusandadonis 2~sonnets 11
summers	~sonnets 1
summon	~venusandadonis 1~sonnets 1
sums	~sonnets 1~loverscomplaint 1
sun	~venusandadonis 15~various 4~sonnets 10~rapeoflucrece 6~loverscomplaint 1
sun's	~sonnets 1
sun;	~venusandadonis 1~sonnets 1
sunder	~rapeoflucrece 1
sundry	~rapeoflucrece 1
sung	~venusandadonis 1~various 1~rapeoflucrece 1
sunk	~sonnets 1
suns	~rapeoflucrece 2
sunset	~sonnets 1
sunshine	~venusandadonis 1
superfluous	~rapeoflucrece 1
superiors	~rapeoflucrece 1
supp'd	~various 1
supper	~rapeoflucrece 2
suppliant's	~rapeoflucrece 1
supplicant	~loverscomplaint 1
supply	~various 1
support	~venusandadonis 2
suppose	~sonnets 1~rapeoflucrece 1
supposed	~sonnets 1~rapeoflucrece 3~loverscomplaint 1
supposed;	~rapeoflucrece 1
supposing	~sonnets 1
suppress'd	~sonnets 1
suppress'd;	~rapeoflucrece 1
supreme	~venusandadonis 1~rapeoflucrece 1
surcease	~rapeoflucrece 1
sure	~sonnets 3
surety-like	~sonnets 1
surfeit	~venusandadonis 2~sonnets 1~rapeoflucrece 1
surfeit-taking	~rapeoflucrece 1
surfeits	~venusandadonis 1
surly	~sonnets 1
surmise	~sonnets 1~rapeoflucrece 2
surmount	~sonnets 1
surnamed	~rapeoflucrece 1
surpass	~venusandadonis 1
surplice	~various 1
surprise	~venusandadonis 2~rapeoflucrece 1
survey	~venusandadonis 1~sonnets 2
survive	~venusandadonis 1~sonnets 2~rapeoflucrece 2
surviving	~rapeoflucrece 2
suspect	~venusandadonis 2~sonnets 2
suspecteth	~rapeoflucrece 1
suspicion	~rapeoflucrece 1
sustain	~rapeoflucrece 1
sustaining	~rapeoflucrece 2
swains	~various 1~rapeoflucrece 1
swallow	~venusandadonis 1~rapeoflucrece 1
swallow'd	~sonnets 1~rapeoflucrece 1
swallowing	~venusandadonis 1~rapeoflucrece 1
swan	~various 1~rapeoflucrece 2
swart-complexion'd	~sonnets 1
sway	~sonnets 2~loverscomplaint 1
sway'st	~sonnets 1
swear	~various 2~sonnets 6~rapeoflucrece 3
swear;	~rapeoflucrece 1
swearing	~various 1~sonnets 1
swears	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
sweat	~venusandadonis 1~rapeoflucrece 2
sweating	~venusandadonis 2
sweet	~venusandadonis 16~various 8~sonnets 50~rapeoflucrece 14~loverscomplaint 4
sweet'st	~sonnets 1
sweet-season'd	~sonnets 1
sweet-smelling	~venusandadonis 1
sweetens	~loverscomplaint 1
sweetest	~sonnets 5
sweetly	~various 1~sonnets 2~rapeoflucrece 2
sweetness	~venusandadonis 1~sonnets 2
sweets	~venusandadonis 1~sonnets 4~rapeoflucrece 1~loverscomplaint 1
sweets;	~sonnets 1
swelleth	~venusandadonis 1
swelling	~venusandadonis 2~rapeoflucrece 2
swells	~rapeoflucrece 1
swerving	~sonnets 1
swift	~venusandadonis 1~sonnets 5~rapeoflucrece 4
swift-footed	~sonnets 1
swiftest	~loverscomplaint 1
swiftly	~venusandadonis 1
swimmer	~rapeoflucrece 1
swine	~venusandadonis 2
swoln	~venusandadonis 1
swoon	~loverscomplaint 1
swooning	~loverscomplaint 1
sword	~sonnets 1~rapeoflucrece 2
swords	~rapeoflucrece 1
swore	~rapeoflucrece 1
sworn	~various 1~sonnets 3~rapeoflucrece 1~loverscomplaint 1
swounds	~rapeoflucrece 1
sympathized	~sonnets 1~rapeoflucrece 1
sympathy	~venusandadonis 1~rapeoflucrece 1
t	~sonnets 2~rapeoflucrece 1
ta'en	~venusandadonis 1~rapeoflucrece 1
table	~sonnets 1
tables	~sonnets 2
tail	~venusandadonis 3
tails	~venusandadonis 1
tainted	~rapeoflucrece 3
take	~venusandadonis 6~various 3~sonnets 10~rapeoflucrece 3
take;	~rapeoflucrece 1
taken	~sonnets 3
taker	~sonnets 1
takes	~venusandadonis 5~various 2~sonnets 3~rapeoflucrece 6~loverscomplaint 3
takest	~various 1
taking	~rapeoflucrece 2
tale	~venusandadonis 2~various 1~rapeoflucrece 2
tale;	~venusandadonis 1~loverscomplaint 1
talents	~loverscomplaint 1
tales	~various 1~rapeoflucrece 1
talk	~venusandadonis 2~various 1~rapeoflucrece 3
talk'd	~rapeoflucrece 1
talk;	~rapeoflucrece 1
tall	~sonnets 1
tallies	~sonnets 1
tame	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
tame;	~loverscomplaint 1
tamed	~venusandadonis 1
tames	~rapeoflucrece 1
tangled	~venusandadonis 1
tann'd	~sonnets 1
tapsters	~venusandadonis 1
tarriance	~various 1
task	~venusandadonis 1~sonnets 1~rapeoflucrece 3
taste	~venusandadonis 4~sonnets 4~rapeoflucrece 4~loverscomplaint 1
tasted	~venusandadonis 1
tatter'd	~sonnets 2
taught	~venusandadonis 2~various 1~sonnets 6
taught'st	~rapeoflucrece 1
teach	~venusandadonis 3~various 1~sonnets 3~rapeoflucrece 2
teachest	~sonnets 1
team	~venusandadonis 1
tear	~sonnets 1~rapeoflucrece 6~loverscomplaint 2
tear-stained	~rapeoflucrece 1
tear;	~rapeoflucrece 1
tears	~venusandadonis 16~various 2~sonnets 5~rapeoflucrece 19~loverscomplaint 1
tears;	~loverscomplaint 1
tedious	~venusandadonis 1~rapeoflucrece 2
teeming	~sonnets 1
teen	~venusandadonis 1~loverscomplaint 1
teeth	~venusandadonis 2~sonnets 1~rapeoflucrece 1
tell	~venusandadonis 1~various 2~sonnets 12~rapeoflucrece 8~loverscomplaint 2
tell-tale	~rapeoflucrece 1
tell;	~sonnets 2
telling	~sonnets 1
tells	~venusandadonis 2~sonnets 2~rapeoflucrece 1
temperance	~rapeoflucrece 1
temperate	~sonnets 1
tempering	~venusandadonis 1
tempest	~venusandadonis 3~rapeoflucrece 1
tempests	~sonnets 1
temple	~rapeoflucrece 2
tempt	~loverscomplaint 1
temptation	~sonnets 2
tempted	~loverscomplaint 1
tempter	~loverscomplaint 1
tempting	~venusandadonis 2~sonnets 1
tempts	~rapeoflucrece 1
ten	~venusandadonis 2~sonnets 6~rapeoflucrece 1
tenants	~sonnets 1~rapeoflucrece 1
tend	~sonnets 3
tend;	~loverscomplaint 1
tender	~venusandadonis 8~various 1~sonnets 7~rapeoflucrece 2~loverscomplaint 1
tender'd	~venusandadonis 1~sonnets 1
tenderer	~venusandadonis 1
tenor	~sonnets 1~rapeoflucrece 1
tent	~venusandadonis 1~rapeoflucrece 2
tenth	~sonnets 1
tereu	~various 1
term	~sonnets 1
term'd	~sonnets 1
termless	~loverscomplaint 1
terms	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
terror	~venusandadonis 1~rapeoflucrece 3~loverscomplaint 1
testament	~rapeoflucrece 1
testy	~venusandadonis 1~sonnets 1~rapeoflucrece 1
text	~venusandadonis 1
th	~sonnets 1~rapeoflucrece 3~loverscomplaint 2
than	~venusandadonis 12~various 7~sonnets 36~rapeoflucrece 21
thank	~sonnets 1
thanks	~sonnets 1
that	~venusandadonis 84~various 35~sonnets 238~rapeoflucrece 178~loverscomplaint 35
that's	~venusandadonis 4~various 1
thaw'd	~venusandadonis 1
thaw'd;	~rapeoflucrece 1
the	~venusandadonis 287~various 108~sonnets 363~rapeoflucrece 433~loverscomplaint 57
thee	~venusandadonis 40~various 27~sonnets 157~rapeoflucrece 37~loverscomplaint 1
thee;	~venusandadonis 1~various 3~sonnets 4~rapeoflucrece 4
theft	~venusandadonis 1~sonnets 1~rapeoflucrece 2
their	~venusandadonis 36~various 5~sonnets 62~rapeoflucrece 96~loverscomplaint 22
theirs	~venusandadonis 1~sonnets 1~loverscomplaint 1
them	~venusandadonis 25~various 6~sonnets 18~rapeoflucrece 28~loverscomplaint 11
them;	~venusandadonis 2
theme	~venusandadonis 2~rapeoflucrece 1
themes	~sonnets 1
themselves	~venusandadonis 6~various 1~sonnets 6~rapeoflucrece 8~loverscomplaint 1
then	~venusandadonis 17~various 5~sonnets 41~rapeoflucrece 22~loverscomplaint 3
thence	~venusandadonis 4~sonnets 7~rapeoflucrece 4~loverscomplaint 2
thence;	~rapeoflucrece 2
there	~venusandadonis 9~various 6~sonnets 13~rapeoflucrece 17~loverscomplaint 3
there's	~sonnets 1~rapeoflucrece 1
there;	~venusandadonis 2~sonnets 3~rapeoflucrece 3
thereby	~sonnets 2
therefore	~venusandadonis 2~sonnets 9~rapeoflucrece 6
therein	~sonnets 3~rapeoflucrece 2
thereof	~various 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
thereon	~rapeoflucrece 1
these	~venusandadonis 6~various 3~sonnets 16~rapeoflucrece 9~loverscomplaint 6
they	~venusandadonis 34~various 6~sonnets 42~rapeoflucrece 54~loverscomplaint 9
thick	~venusandadonis 2~rapeoflucrece 2
thief	~sonnets 4~rapeoflucrece 4
thieves	~venusandadonis 1~rapeoflucrece 1
thieves;	~venusandadonis 2
thievish	~sonnets 2~rapeoflucrece 2
thigh	~venusandadonis 1~various 2
thine	~venusandadonis 11~various 3~sonnets 40~rapeoflucrece 13~loverscomplaint 1
thine;	~venusandadonis 1
thing	~venusandadonis 1~various 1~sonnets 12~rapeoflucrece 12~loverscomplaint 2
thing;	~rapeoflucrece 1
things	~venusandadonis 4~various 1~sonnets 13~rapeoflucrece 6~loverscomplaint 1
things;	~sonnets 1
think	~venusandadonis 3~various 2~sonnets 14~rapeoflucrece 5~loverscomplaint 1
thinking	~various 1~sonnets 3
thinks	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 4~loverscomplaint 1
thinly	~sonnets 1
third	~sonnets 1
thirst	~venusandadonis 1
thirsty	~venusandadonis 1
this	~venusandadonis 42~various 12~sonnets 94~rapeoflucrece 92~loverscomplaint 6
this;	~sonnets 1
thither	~various 1~sonnets 1
thong	~venusandadonis 1
thorn	~various 2~rapeoflucrece 1
thorns	~sonnets 3~rapeoflucrece 1
thorny	~venusandadonis 1
thorough	~rapeoflucrece 1
those	~venusandadonis 5~various 3~sonnets 26~rapeoflucrece 12~loverscomplaint 1
those;	~rapeoflucrece 1
thou	~venusandadonis 65~various 22~sonnets 209~rapeoflucrece 71~loverscomplaint 5
thou;	~sonnets 1
though	~venusandadonis 6~various 5~sonnets 23~rapeoflucrece 7~loverscomplaint 3
thought	~venusandadonis 5~various 1~sonnets 18~rapeoflucrece 11~loverscomplaint 2
thought's	~rapeoflucrece 1
thoughts	~venusandadonis 3~various 1~sonnets 18~rapeoflucrece 9~loverscomplaint 1
thousand	~venusandadonis 9~various 2~sonnets 3~rapeoflucrece 5~loverscomplaint 1
thrall	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
thralled	~sonnets 1
threaden	~loverscomplaint 1
threads	~rapeoflucrece 1
threat	~venusandadonis 1~rapeoflucrece 2
threats	~rapeoflucrece 1
three	~various 1~sonnets 3
three;	~venusandadonis 1
threefold	~sonnets 1
threescore	~sonnets 1
threne	~various 1
threshold	~rapeoflucrece 1
threw	~venusandadonis 1~sonnets 1~loverscomplaint 1
threw;	~rapeoflucrece 1
thrice	~sonnets 3
thriftless	~sonnets 1
thrive	~venusandadonis 2~sonnets 2
thrivers	~sonnets 1
thrives	~rapeoflucrece 1
thriveth	~venusandadonis 1
throbbing	~venusandadonis 1
throne	~venusandadonis 1~rapeoflucrece 1
throned	~sonnets 1
throng	~venusandadonis 1~rapeoflucrece 1
throng'd	~rapeoflucrece 1
thronging	~rapeoflucrece 1
through	~venusandadonis 11~various 1~sonnets 5~rapeoflucrece 12~loverscomplaint 2
throw	~various 1~sonnets 1
throws	~venusandadonis 1~various 1~rapeoflucrece 3
thrust	~venusandadonis 1~sonnets 1~rapeoflucrece 2
thrusts	~sonnets 1
thunder	~various 1~sonnets 1~loverscomplaint 1
thunder;	~venusandadonis 1
thus	~venusandadonis 3~various 7~sonnets 13~rapeoflucrece 12~loverscomplaint 1
thus;	~sonnets 1
thwarting	~rapeoflucrece 1
thy	~venusandadonis 50~various 24~sonnets 240~rapeoflucrece 97~loverscomplaint 1
thyself	~venusandadonis 6~various 1~sonnets 18~rapeoflucrece 3
tickled	~sonnets 1
tickling	~rapeoflucrece 1
tide	~venusandadonis 2~rapeoflucrece 3
tidings	~venusandadonis 1~rapeoflucrece 1
tie	~venusandadonis 1~sonnets 2~rapeoflucrece 1
tied	~venusandadonis 2~sonnets 1~loverscomplaint 2
tiger	~venusandadonis 1~rapeoflucrece 1
tiger's	~sonnets 1
tigers	~rapeoflucrece 1
til	~venusandadonis 1
till	~venusandadonis 4~various 1~sonnets 8~rapeoflucrece 7~loverscomplaint 1
tillage	~sonnets 1
time	~venusandadonis 5~various 2~sonnets 39~rapeoflucrece 28
time's	~sonnets 4
time-beguiling	~venusandadonis 1
time-bettering	~sonnets 1
time;	~sonnets 1~rapeoflucrece 1
timely	~various 1
times	~venusandadonis 3~sonnets 9~rapeoflucrece 4
timorous	~venusandadonis 2
tincture	~sonnets 1
tip	~loverscomplaint 1
tire	~rapeoflucrece 1
tired	~venusandadonis 2~sonnets 1~rapeoflucrece 3
tired;	~sonnets 1
tires	~sonnets 1
tis	~venusandadonis 8~various 1~sonnets 7~rapeoflucrece 6
title	~sonnets 2
titles	~sonnets 1~rapeoflucrece 1
to	~venusandadonis 159~various 69~sonnets 331~rapeoflucrece 310~loverscomplaint 51
to-day	~sonnets 3
to-morrow	~venusandadonis 3~sonnets 1
to-night	~various 1
toads	~rapeoflucrece 1
together	~venusandadonis 4~various 2~sonnets 1~rapeoflucrece 2
toil	~sonnets 4
toil'd	~sonnets 1
token	~rapeoflucrece 1
told	~venusandadonis 2~various 3~sonnets 4~rapeoflucrece 2
told'st	~venusandadonis 1
told;	~venusandadonis 1~rapeoflucrece 1
tomb	~venusandadonis 1~sonnets 5
tomb'd	~sonnets 1
tombs	~venusandadonis 1~sonnets 1
tomorrow	~various 3
tongue	~venusandadonis 6~various 7~sonnets 10~rapeoflucrece 12~loverscomplaint 1
tongue's	~sonnets 1
tongue-tied	~sonnets 4
tongue;	~venusandadonis 1~sonnets 1~rapeoflucrece 2
tongues	~venusandadonis 2~sonnets 4~rapeoflucrece 1
too	~venusandadonis 6~various 8~sonnets 16~rapeoflucrece 15~loverscomplaint 1
too;	~sonnets 1
took	~venusandadonis 1~sonnets 5~rapeoflucrece 4
tool	~rapeoflucrece 1
tooth'd	~venusandadonis 1
top	~venusandadonis 1~sonnets 1~loverscomplaint 1
torch	~rapeoflucrece 5
tore	~rapeoflucrece 1~loverscomplaint 1
torment	~sonnets 2~rapeoflucrece 1
tormenteth	~venusandadonis 1
torments	~sonnets 1~rapeoflucrece 1
torn	~sonnets 1~rapeoflucrece 1
torture	~sonnets 2~rapeoflucrece 1
toss'd	~rapeoflucrece 1
touch	~venusandadonis 2~various 2~sonnets 1~rapeoflucrece 2
touch'd	~various 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
touches	~venusandadonis 1~sonnets 4
touching	~venusandadonis 1
toward	~venusandadonis 1~various 1~sonnets 1
towards	~sonnets 1
tower	~various 1
towering	~rapeoflucrece 1
towers	~sonnets 1~rapeoflucrece 1
towers;	~rapeoflucrece 1
town	~various 1
toy	~venusandadonis 1~rapeoflucrece 1
toy;	~venusandadonis 1
toys	~various 1
tract	~sonnets 1
traffic	~sonnets 1~rapeoflucrece 1
tragedies	~rapeoflucrece 1
tragic	~various 1~loverscomplaint 1
traitor	~rapeoflucrece 3
traitor's	~rapeoflucrece 1
traitors	~rapeoflucrece 1
trampling	~venusandadonis 1
trance	~rapeoflucrece 1
trances	~rapeoflucrece 1
transferr'd	~sonnets 1
transfix	~sonnets 1
transgressed	~rapeoflucrece 1
transgression	~sonnets 1
transgressions	~rapeoflucrece 1
translate	~sonnets 1
translated	~sonnets 1
transport	~sonnets 1
trapping	~venusandadonis 1
travail	~sonnets 1~rapeoflucrece 1
travel	~sonnets 2
travel's	~sonnets 1
travell'd	~sonnets 1
travels	~sonnets 1
treacherously	~rapeoflucrece 1
tread	~venusandadonis 1~rapeoflucrece 1
treads	~venusandadonis 2~various 1~sonnets 1
treason	~venusandadonis 1~rapeoflucrece 6
treason;	~sonnets 1
treasure	~venusandadonis 4~sonnets 9~rapeoflucrece 5
treasures;	~venusandadonis 1
treatise	~venusandadonis 1
treble	~venusandadonis 1
treble-dated	~various 1
tree	~venusandadonis 2~various 2
trees	~venusandadonis 1~various 1~sonnets 1
tremble	~venusandadonis 2~rapeoflucrece 2
trembles	~venusandadonis 1
trembling	~venusandadonis 2~rapeoflucrece 6
trench'd	~venusandadonis 1
trenches	~sonnets 1
trespass	~sonnets 2~rapeoflucrece 6
tresses	~sonnets 1
trial	~sonnets 1~rapeoflucrece 1
trial;	~rapeoflucrece 1
tribes	~sonnets 1
tributary	~venusandadonis 2
tribute	~rapeoflucrece 1
tributes	~loverscomplaint 1
tricks	~venusandadonis 1~various 1~rapeoflucrece 1
tried	~venusandadonis 1
tried;	~rapeoflucrece 1
tries	~rapeoflucrece 1
trifle	~sonnets 1
trifles	~sonnets 1
trim	~sonnets 1~loverscomplaint 1
trim;	~venusandadonis 1
trimm'd	~sonnets 1
trip	~venusandadonis 1
tripping	~sonnets 1
trips	~venusandadonis 1
triumph	~various 1~sonnets 2~rapeoflucrece 2
triumph'd	~rapeoflucrece 1
